Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0278,32.4452,Valid
TST-0006,19.1593,Valid
TST-0047,52.6794,Valid
TST-0311,25.658,Valid
TST-0264,22.3873,Valid
TST-0169,19.4914,Valid
TST-0269,18.3505,Valid
TST-0178,14.9458,Invalid
TST-0206,31.2939,Valid
TST-0038,18.1244,Valid
TST-0213,13.4075,Invalid
TST-0309,16.1004,Valid
TST-0059,32.9902,Valid
TST-0159,18.3597,Valid
TST-0235,19.9976,Valid
TST-0230,21.0259,Valid
TST-0323,36.6721,Valid
TST-0262,18.6918,Valid
TST-0274,14.5181,Valid
TST-0214,47.8687,Invalid
TST-0024,39.3259,Valid
TST-0234,17.7419,Valid
TST-0333,21.4879,Valid
TST-0060,20.235,Valid
TST-0226,36.048,Valid
TST-0197,16.2158,Valid
TST-0346,42.195,Valid
TST-0192,24.4381,Valid
TST-0141,29.8282,Valid
TST-0222,38.0159,Invalid
TST-0232,19.4197,Valid
TST-0085,23.2696,Valid
TST-0237,33.276,Valid
TST-0001,37.6053,Valid
TST-0069,16.566,Valid
TST-0272,22.9566,Invalid
TST-0343,35.0965,Valid
TST-0320,26.6535,Valid
TST-0008,30.9914,Invalid
TST-0144,23.1823,Valid
TST-0184,21.6401,Valid
TST-0107,51.3518,Valid
TST-0026,42.0483,Valid
TST-0164,43.0733,Valid
TST-0217,33.2423,Valid
TST-0332,25.9593,Valid
TST-0279,24.2589,Valid
TST-0243,18.5674,Valid
TST-0163,20.284,Valid
TST-0131,30.4928,Valid
TST-0070,16.2623,Valid
TST-0137,18.4432,Valid
TST-0210,29.9323,Valid
TST-0288,20.7766,Valid
TST-0248,17.84,Valid
TST-0277,22.8949,Valid
TST-0215,22.2919,Valid
TST-0138,16.3675,Valid
TST-0228,17.5558,Valid
TST-0252,49.4805,Valid
TST-0205,30.1748,Valid
TST-0348,22.8057,Valid
TST-0177,22.3045,Valid
TST-0267,38.577,Valid
TST-0308,23.4713,Valid
TST-0087,44.7259,Valid
TST-0117,17.1009,Valid
TST-0014,18.3115,Valid
TST-0154,25.4584,Valid
TST-0207,47.7904,Valid
TST-0187,22.0059,Valid
TST-0236,21.3391,Valid
TST-0283,37.3638,Valid
TST-0089,18.2844,Valid
TST-0202,23.3461,Valid
TST-0160,18.4441,Valid
TST-0036,25.9624,Valid
TST-0275,48.3684,Invalid
TST-0023,33.3398,Valid
TST-0091,43.7666,Valid
TST-0151,43.5217,Valid
TST-0310,21.6023,Valid
TST-0239,15.0404,Valid
TST-0331,32.7469,Valid
TST-0316,13.2097,Invalid
TST-0338,14.1161,Valid
TST-0019,20.1898,Valid
TST-0168,13.7073,Invalid
TST-0007,18.3977,Valid
TST-0211,32.4534,Valid
TST-0016,37.6927,Valid
TST-0027,19.6838,Valid
TST-0031,16.3475,Invalid
TST-0249,28.7537,Valid
TST-0011,16.013,Valid
TST-0080,22.8629,Valid
TST-0121,16.4199,Valid
TST-0266,19.5538,Valid
TST-0198,21.8564,Valid
TST-0067,30.4712,Valid
TST-0102,21.56,Valid
TST-0005,37.0118,Valid
TST-0003,31.4375,Valid
TST-0132,47.1722,Valid
TST-0029,26.4707,Valid
TST-0221,26.3283,Valid
TST-0099,17.8159,Valid
TST-0062,17.3348,Valid
TST-0095,27.5646,Valid
TST-0126,16.9977,Valid
TST-0034,49.6753,Valid
TST-0103,15.9403,Valid
TST-0245,23.2158,Valid
TST-0058,49.4719,Valid
TST-0065,25.8428,Valid
TST-0086,19.74,Valid
TST-0342,20.3347,Valid
TST-0335,17.7502,Valid
TST-0180,18.3376,Invalid
TST-0294,24.1737,Invalid
TST-0072,20.7358,Valid
TST-0315,46.6243,Valid
TST-0182,46.1425,Valid
TST-0200,21.5309,Valid
TST-0030,16.6258,Valid
TST-0193,16.9547,Valid
TST-0231,20.863,Valid
TST-0128,25.8019,Valid
TST-0165,28.2937,Valid
TST-0074,13.5543,Valid
TST-0004,34.386,Valid
TST-0157,22.8607,Valid
TST-0143,27.8171,Valid
TST-0179,41.014,Valid
TST-0075,27.0293,Valid
TST-0233,25.394,Valid
TST-0111,26.0033,Valid
TST-0350,20.9219,Valid
TST-0122,17.0916,Valid
TST-0076,21.5818,Valid
TST-0304,26.3709,Valid
TST-0190,29.5291,Valid
TST-0061,16.8558,Valid
TST-0009,24.8231,Valid
TST-0194,44.3003,Valid
TST-0156,19.475,Valid
TST-0088,32.0092,Valid
TST-0256,46.6913,Valid
TST-0329,16.3786,Valid
TST-0219,42.0544,Valid
TST-0306,13.6582,Valid
TST-0324,23.1286,Valid
TST-0113,21.5252,Valid
TST-0135,16.149,Valid
TST-0339,18.0095,Valid
TST-0260,23.1748,Valid
TST-0195,25.8129,Valid
TST-0286,27.5008,Valid
TST-0015,24.5322,Valid
TST-0263,19.6967,Valid
TST-0147,24.6403,Valid
TST-0002,24.6584,Invalid
TST-0114,46.749,Valid
TST-0271,24.4599,Invalid
TST-0223,22.0868,Valid
TST-0344,16.3483,Valid
TST-0183,30.7535,Valid
TST-0327,34.122,Valid
TST-0250,20.0445,Valid
TST-0185,37.7554,Valid
TST-0242,21.2738,Valid
TST-0158,13.7107,Valid
TST-0078,45.5509,Valid
TST-0120,22.5729,Valid
TST-0093,30.0619,Valid
TST-0051,15.8523,Valid
TST-0010,16.2454,Valid
TST-0013,51.0629,Valid
TST-0049,15.1296,Valid
TST-0041,17.569,Valid
TST-0055,31.8365,Valid
TST-0012,20.5306,Valid
TST-0127,48.5165,Valid
TST-0225,26.5454,Valid
TST-0050,24.6113,Valid
TST-0172,35.184,Valid
TST-0079,32.8307,Valid
TST-0046,22.037,Valid
TST-0325,18.4089,Valid
TST-0280,20.868,Valid
TST-0140,15.258,Valid
TST-0244,46.6243,Invalid
TST-0203,21.302,Valid
TST-0238,18.3345,Valid
TST-0092,29.1323,Valid
TST-0307,13.7808,Valid
TST-0176,30.7472,Valid
TST-0115,17.7727,Valid
TST-0028,13.3972,Invalid
TST-0317,18.7233,Valid
TST-0251,38.7789,Valid
TST-0301,14.9289,Valid
TST-0116,36.8807,Valid
TST-0056,23.3145,Valid
TST-0166,27.1517,Valid
TST-0247,32.917,Valid
TST-0291,27.3036,Valid
TST-0167,29.236,Valid
TST-0313,47.9351,Invalid
TST-0105,13.9652,Valid
